timestamp,index,mem_used_MiB,mem_total_MiB,util_gpu,util_mem
2025-08-16 01:22:38,0, 2827, 81920, [N/A], [N/A]
2025-08-16 01:22:38,1, 4, 81920, 0, 0
2025-08-16 01:22:39,0, 2827, 81920, [N/A], [N/A]
2025-08-16 01:22:39,1, 4, 81920, 0, 0
2025-08-16 01:22:40,0, 2827, 81920, [N/A], [N/A]
2025-08-16 01:22:40,1, 4, 81920, 0, 0
2025-08-16 01:22:41,0, 2827, 81920, [N/A], [N/A]
2025-08-16 01:22:41,1, 4, 81920, 0, 0
2025-08-16 01:22:42,0, 2827, 81920, [N/A], [N/A]
2025-08-16 01:22:42,1, 4, 81920, 0, 0
2025-08-16 01:22:43,0, 2827, 81920, [N/A], [N/A]
2025-08-16 01:22:43,1, 4, 81920, 0, 0
2025-08-16 01:22:44,0, 2827, 81920, [N/A], [N/A]
2025-08-16 01:22:44,1, 4, 81920, 0, 0
2025-08-16 01:22:45,0, 2827, 81920, [N/A], [N/A]
2025-08-16 01:22:45,1, 4, 81920, 0, 0
2025-08-16 01:22:46,0, 2827, 81920, [N/A], [N/A]
2025-08-16 01:22:46,1, 4, 81920, 0, 0
2025-08-16 01:22:47,0, 2827, 81920, [N/A], [N/A]
2025-08-16 01:22:47,1, 4, 81920, 0, 0
2025-08-16 01:22:48,0, 2827, 81920, [N/A], [N/A]
2025-08-16 01:22:48,1, 4, 81920, 0, 0
2025-08-16 01:22:49,0, 2827, 81920, [N/A], [N/A]
2025-08-16 01:22:49,1, 4, 81920, 0, 0
2025-08-16 01:22:50,0, 2827, 81920, [N/A], [N/A]
2025-08-16 01:22:50,1, 4, 81920, 0, 0
2025-08-16 01:22:52,0, 2827, 81920, [N/A], [N/A]
2025-08-16 01:22:52,1, 7, 81920, 0, 0
2025-08-16 01:22:53,0, 2827, 81920, [N/A], [N/A]
2025-08-16 01:22:53,1, 7, 81920, 0, 0
2025-08-16 01:22:54,0, 2827, 81920, [N/A], [N/A]
2025-08-16 01:22:54,1, 7, 81920, 0, 0
2025-08-16 01:22:55,0, 2827, 81920, [N/A], [N/A]
2025-08-16 01:22:55,1, 7, 81920, 0, 0
2025-08-16 01:22:56,0, 2827, 81920, [N/A], [N/A]
2025-08-16 01:22:56,1, 7, 81920, 0, 0
2025-08-16 01:22:57,0, 2827, 81920, [N/A], [N/A]
2025-08-16 01:22:57,1, 7, 81920, 0, 0
2025-08-16 01:22:58,0, 2827, 81920, [N/A], [N/A]
2025-08-16 01:22:58,1, 7, 81920, 0, 0
2025-08-16 01:22:59,0, 2827, 81920, [N/A], [N/A]
2025-08-16 01:22:59,1, 7, 81920, 0, 0
2025-08-16 01:23:00,0, 2827, 81920, [N/A], [N/A]
2025-08-16 01:23:00,1, 7, 81920, 0, 0
2025-08-16 01:23:01,0, 2827, 81920, [N/A], [N/A]
2025-08-16 01:23:01,1, 7, 81920, 0, 0
2025-08-16 01:23:02,0, 2827, 81920, [N/A], [N/A]
2025-08-16 01:23:02,1, 7, 81920, 0, 0
2025-08-16 01:23:03,0, 2827, 81920, [N/A], [N/A]
2025-08-16 01:23:03,1, 7, 81920, 0, 0
