timestamp,ram_used_MiB,ram_total_MiB
2025-08-16 01:22:38,14915,515333
2025-08-16 01:22:39,14933,515333
2025-08-16 01:22:40,14945,515333
2025-08-16 01:22:41,14946,515333
2025-08-16 01:22:42,14971,515333
2025-08-16 01:22:43,15000,515333
2025-08-16 01:22:44,15023,515333
2025-08-16 01:22:45,15040,515333
2025-08-16 01:22:46,15066,515333
2025-08-16 01:22:47,15092,515333
2025-08-16 01:22:48,15100,515333
2025-08-16 01:22:49,15109,515333
2025-08-16 01:22:50,15120,515333
2025-08-16 01:22:51,15137,515333
2025-08-16 01:22:52,15191,515333
2025-08-16 01:22:53,15210,515333
2025-08-16 01:22:54,15224,515333
2025-08-16 01:22:55,15438,515333
2025-08-16 01:22:56,15809,515333
2025-08-16 01:22:57,16550,515333
2025-08-16 01:22:58,16560,515333
2025-08-16 01:22:59,17075,515333
2025-08-16 01:23:00,18805,515333
2025-08-16 01:23:01,23133,515333
2025-08-16 01:23:02,23139,515333
2025-08-16 01:23:03,23141,515333
2025-08-16 01:23:04,23145,515333
2025-08-16 01:23:05,23237,515333
2025-08-16 01:23:06,23237,515333
2025-08-16 01:23:07,23238,515333
2025-08-16 01:23:08,23373,515333
2025-08-16 01:23:09,27824,515333
2025-08-16 01:23:10,26864,515333
2025-08-16 01:23:11,26879,515333
2025-08-16 01:23:12,26880,515333
2025-08-16 01:23:13,26880,515333
2025-08-16 01:23:14,26887,515333
2025-08-16 01:23:15,26888,515333
2025-08-16 01:23:16,26889,515333
2025-08-16 01:23:17,26889,515333
2025-08-16 01:23:18,26889,515333
2025-08-16 01:23:20,26889,515333
2025-08-16 01:23:21,26893,515333
2025-08-16 01:23:22,26893,515333
2025-08-16 01:23:23,26893,515333
2025-08-16 01:23:24,26893,515333
2025-08-16 01:23:25,26893,515333
2025-08-16 01:23:26,26894,515333
2025-08-16 01:23:27,26894,515333
2025-08-16 01:23:28,26894,515333
2025-08-16 01:23:29,26894,515333
2025-08-16 01:23:30,26894,515333
2025-08-16 01:23:31,26894,515333
