timestamp,ram_used_MiB,ram_total_MiB
2025-08-16 01:14:16,14977,515238
2025-08-16 01:14:17,15197,515238
2025-08-16 01:14:18,14992,515238
2025-08-16 01:14:19,15180,515238
2025-08-16 01:14:20,15058,515238
2025-08-16 01:14:21,15219,515238
2025-08-16 01:14:22,15092,515238
2025-08-16 01:14:23,15242,515238
2025-08-16 01:14:25,15175,515238
2025-08-16 01:14:26,15215,515238
2025-08-16 01:14:27,15193,515238
2025-08-16 01:14:28,15233,515238
2025-08-16 01:14:29,15248,515238
2025-08-16 01:14:30,15252,515238
2025-08-16 01:14:31,15473,515238
2025-08-16 01:14:32,15287,515238
2025-08-16 01:14:33,16345,515238
2025-08-16 01:14:34,17199,515238
2025-08-16 01:14:35,17537,515238
2025-08-16 01:14:36,19077,515238
2025-08-16 01:14:37,23313,515238
2025-08-16 01:14:38,23176,515238
2025-08-16 01:14:39,23253,515238
2025-08-16 01:14:40,23263,515238
2025-08-16 01:14:41,23308,515238
2025-08-16 01:14:42,23357,515238
2025-08-16 01:14:43,23309,515238
2025-08-16 01:14:44,27319,515238
2025-08-16 01:14:45,26939,515238
2025-08-16 01:14:46,27110,515238
2025-08-16 01:14:47,26887,515238
2025-08-16 01:14:48,26941,515238
2025-08-16 01:14:49,26913,515238
2025-08-16 01:14:50,27117,515238
2025-08-16 01:14:51,26921,515238
2025-08-16 01:14:52,27084,515238
2025-08-16 01:14:53,26921,515238
2025-08-16 01:14:54,27050,515238
2025-08-16 01:14:55,26872,515238
2025-08-16 01:14:56,26971,515238
2025-08-16 01:14:57,26876,515238
2025-08-16 01:14:58,26944,515238
2025-08-16 01:14:59,26876,515238
2025-08-16 01:15:00,26912,515238
2025-08-16 01:15:01,27019,515238
2025-08-16 01:15:02,26931,515238
2025-08-16 01:15:03,26940,515238
2025-08-16 01:15:04,26921,515238
2025-08-16 01:15:05,27107,515238
2025-08-16 01:15:06,26922,515238
2025-08-16 01:15:07,27078,515238
2025-08-16 01:15:08,26877,515238
2025-08-16 01:15:09,26975,515238
2025-08-16 01:15:10,26848,515238
2025-08-16 01:15:11,26953,515238
2025-08-16 01:15:12,26848,515238
2025-08-16 01:15:13,26929,515238
2025-08-16 01:15:14,26891,515238
2025-08-16 01:15:15,26945,515238
2025-08-16 01:15:16,27169,515238
2025-08-16 01:15:17,26933,515238
2025-08-16 01:15:18,26975,515238
2025-08-16 01:15:19,26925,515238
2025-08-16 01:15:20,27128,515238
2025-08-16 01:15:21,26932,515238
2025-08-16 01:15:22,27089,515238
2025-08-16 01:15:23,26932,515238
2025-08-16 01:15:24,27059,515238
2025-08-16 01:15:25,26931,515238
2025-08-16 01:15:26,27017,515238
2025-08-16 01:15:27,26934,515238
2025-08-16 01:15:28,26966,515238
2025-08-16 01:15:29,27029,515238
2025-08-16 01:15:30,26916,515238
2025-08-16 01:15:31,27100,515238
2025-08-16 01:15:32,26902,515238
2025-08-16 01:15:33,27084,515238
2025-08-16 01:15:34,26858,515238
2025-08-16 01:15:35,27007,515238
2025-08-16 01:15:36,26859,515238
2025-08-16 01:15:37,26975,515238
2025-08-16 01:15:38,26859,515238
2025-08-16 01:15:39,26950,515238
2025-08-16 01:15:40,26903,515238
2025-08-16 01:15:41,26949,515238
2025-08-16 01:15:42,26966,515238
2025-08-16 01:15:43,26902,515238
2025-08-16 01:15:44,27100,515238
2025-08-16 01:15:45,26903,515238
2025-08-16 01:15:46,27067,515238
2025-08-16 01:15:47,23976,515238
2025-08-16 01:15:48,21622,515238
2025-08-16 01:15:49,21488,515238
2025-08-16 01:15:50,21594,515238
2025-08-16 01:15:52,21531,515238
2025-08-16 01:15:53,21592,515238
2025-08-16 01:15:54,21767,515238
2025-08-16 01:15:55,21597,515238
2025-08-16 01:15:56,21606,515238
2025-08-16 01:15:57,21587,515238
2025-08-16 01:15:58,21784,515238
2025-08-16 01:15:59,21587,515238
2025-08-16 01:16:00,21748,515238
2025-08-16 01:16:01,21587,515238
2025-08-16 01:16:02,21712,515238
2025-08-16 01:16:03,21565,515238
2025-08-16 01:16:04,21613,515238
2025-08-16 01:16:05,21528,515238
2025-08-16 01:16:06,21513,515238
2025-08-16 01:16:07,21562,515238
2025-08-16 01:16:08,21529,515238
2025-08-16 01:16:09,21742,515238
2025-08-16 01:16:10,21553,515238
2025-08-16 01:16:11,21703,515238
2025-08-16 01:16:12,21555,515238
2025-08-16 01:16:13,21672,515238
2025-08-16 01:16:14,21511,515238
2025-08-16 01:16:15,21590,515238
2025-08-16 01:16:16,21511,515238
2025-08-16 01:16:17,21546,515238
2025-08-16 01:16:18,21547,515238
2025-08-16 01:16:19,21511,515238
2025-08-16 01:16:20,21762,515238
2025-08-16 01:16:21,21565,515238
2025-08-16 01:16:22,21712,515238
2025-08-16 01:16:23,21548,515238
2025-08-16 01:16:24,21671,515238
2025-08-16 01:16:25,21549,515238
2025-08-16 01:16:26,21630,515238
2025-08-16 01:16:27,21494,515238
2025-08-16 01:16:28,21546,515238
2025-08-16 01:16:29,21605,515238
2025-08-16 01:16:30,21508,515238
2025-08-16 01:16:31,21510,515238
2025-08-16 01:16:32,21493,515238
2025-08-16 01:16:33,21699,515238
2025-08-16 01:16:34,21494,515238
2025-08-16 01:16:35,21659,515238
2025-08-16 01:16:36,21492,515238
2025-08-16 01:16:37,21623,515238
2025-08-16 01:16:38,21493,515238
2025-08-16 01:16:39,21598,515238
2025-08-16 01:16:40,21493,515238
2025-08-16 01:16:41,21901,515238
2025-08-16 01:16:42,23075,515238
2025-08-16 01:16:43,23085,515238
2025-08-16 01:16:44,23085,515238
2025-08-16 01:16:45,23086,515238
2025-08-16 01:16:46,23088,515238
2025-08-16 01:16:47,23089,515238
2025-08-16 01:16:48,23098,515238
2025-08-16 01:16:49,22228,515238
2025-08-16 01:16:50,22252,515238
2025-08-16 01:16:51,21164,515238
2025-08-16 01:16:52,21111,515238
2025-08-16 01:16:53,18425,515238
2025-08-16 01:16:54,18426,515238
2025-08-16 01:16:55,18425,515238
2025-08-16 01:16:56,18426,515238
2025-08-16 01:16:57,18425,515238
2025-08-16 01:16:58,18426,515238
2025-08-16 01:16:59,18425,515238
