timestamp,index,mem_used_MiB,mem_total_MiB,util_gpu,util_mem
2025-08-17 00:18:37,0, 3, 46068, 0, 0
2025-08-17 00:18:40,0, 3, 46068, 0, 0
2025-08-17 00:18:43,0, 3, 46068, 0, 0
2025-08-17 00:18:47,0, 3, 46068, 0, 0
2025-08-17 00:18:50,0, 3, 46068, 0, 0
2025-08-17 00:18:51,0, 5, 46068, 0, 0
2025-08-17 00:18:52,0, 5, 46068, 0, 0
2025-08-17 00:18:53,0, 5, 46068, 0, 0
2025-08-17 00:18:54,0, 5, 46068, 0, 0
2025-08-17 00:18:55,0, 5, 46068, 0, 0
2025-08-17 00:18:56,0, 5, 46068, 0, 0
2025-08-17 00:18:57,0, 5, 46068, 0, 0
2025-08-17 00:18:58,0, 5, 46068, 0, 0
2025-08-17 00:18:59,0, 5, 46068, 0, 0
2025-08-17 00:19:00,0, 501, 46068, 3, 0
2025-08-17 00:19:02,0, 501, 46068, 0, 0
2025-08-17 00:19:03,0, 501, 46068, 0, 0
2025-08-17 00:19:04,0, 503, 46068, 0, 0
2025-08-17 00:19:05,0, 673, 46068, 0, 0
2025-08-17 00:19:06,0, 3541, 46068, 0, 0
2025-08-17 00:19:07,0, 4251, 46068, 0, 0
2025-08-17 00:19:08,0, 4251, 46068, 0, 0
2025-08-17 00:19:09,0, 4251, 46068, 0, 0
2025-08-17 00:19:10,0, 4251, 46068, 0, 0
2025-08-17 00:19:11,0, 4259, 46068, 0, 0
2025-08-17 00:19:12,0, 4261, 46068, 0, 0
2025-08-17 00:19:13,0, 4261, 46068, 0, 0
2025-08-17 00:19:14,0, 4341, 46068, 99, 4
2025-08-17 00:19:15,0, 8595, 46068, 100, 58
2025-08-17 00:19:16,0, 8595, 46068, 100, 54
2025-08-17 00:19:17,0, 8595, 46068, 100, 53
2025-08-17 00:19:18,0, 8595, 46068, 100, 59
2025-08-17 00:19:19,0, 8595, 46068, 100, 66
2025-08-17 00:19:20,0, 8595, 46068, 100, 57
2025-08-17 00:19:21,0, 8597, 46068, 100, 54
2025-08-17 00:19:22,0, 8597, 46068, 100, 52
