timestamp,ram_used_MiB,ram_total_MiB
2025-08-17 00:18:37,12311,515238
2025-08-17 00:18:38,12450,515238
2025-08-17 00:18:39,12443,515238
2025-08-17 00:18:40,12344,515238
2025-08-17 00:18:41,12649,515238
2025-08-17 00:18:42,12440,515238
2025-08-17 00:18:43,12607,515238
2025-08-17 00:18:44,12521,515238
2025-08-17 00:18:45,12658,515238
2025-08-17 00:18:46,12735,515238
2025-08-17 00:18:47,12629,515238
2025-08-17 00:18:48,12810,515238
2025-08-17 00:18:49,12557,515238
2025-08-17 00:18:50,12799,515238
2025-08-17 00:18:51,12623,515238
2025-08-17 00:18:52,12782,515238
2025-08-17 00:18:53,13355,515238
2025-08-17 00:18:54,14438,515238
2025-08-17 00:18:55,14727,515238
2025-08-17 00:18:56,16121,515238
2025-08-17 00:18:57,22246,515238
2025-08-17 00:18:58,20555,515238
2025-08-17 00:18:59,20730,515238
2025-08-17 00:19:00,20643,515238
2025-08-17 00:19:01,20768,515238
2025-08-17 00:19:02,20837,515238
2025-08-17 00:19:03,20727,515238
2025-08-17 00:19:05,23294,515238
2025-08-17 00:19:06,24263,515238
2025-08-17 00:19:07,24448,515238
2025-08-17 00:19:08,24195,515238
2025-08-17 00:19:09,24402,515238
2025-08-17 00:19:10,24196,515238
2025-08-17 00:19:11,24351,515238
2025-08-17 00:19:12,24201,515238
2025-08-17 00:19:13,24298,515238
2025-08-17 00:19:14,24287,515238
2025-08-17 00:19:15,24202,515238
2025-08-17 00:19:16,24446,515238
2025-08-17 00:19:17,24202,515238
2025-08-17 00:19:18,24392,515238
2025-08-17 00:19:19,24202,515238
2025-08-17 00:19:20,24338,515238
2025-08-17 00:19:21,24396,515238
2025-08-17 00:19:22,24289,515238
2025-08-17 00:19:23,24280,515238
2025-08-17 00:19:24,24202,515238
2025-08-17 00:19:25,24433,515238
2025-08-17 00:19:26,24202,515238
2025-08-17 00:19:27,24384,515238
2025-08-17 00:19:28,24202,515238
2025-08-17 00:19:29,24335,515238
2025-08-17 00:19:30,24546,515238
2025-08-17 00:19:31,24289,515238
2025-08-17 00:19:32,24281,515238
2025-08-17 00:19:33,24203,515238
2025-08-17 00:19:34,24435,515238
2025-08-17 00:19:35,24203,515238
2025-08-17 00:19:36,24377,515238
2025-08-17 00:19:37,24203,515238
2025-08-17 00:19:38,24321,515238
2025-08-17 00:19:39,24367,515238
2025-08-17 00:19:40,24269,515238
2025-08-17 00:19:41,24519,515238
2025-08-17 00:19:42,24269,515238
2025-08-17 00:19:43,24472,515238
2025-08-17 00:19:44,24269,515238
2025-08-17 00:19:45,24425,515238
2025-08-17 00:19:46,24273,515238
2025-08-17 00:19:47,24384,515238
2025-08-17 00:19:48,24448,515238
2025-08-17 00:19:49,24351,515238
2025-08-17 00:19:50,24527,515238
2025-08-17 00:19:51,24272,515238
2025-08-17 00:19:52,24466,515238
2025-08-17 00:19:53,24272,515238
2025-08-17 00:19:54,24416,515238
2025-08-17 00:19:55,24272,515238
2025-08-17 00:19:56,24369,515238
2025-08-17 00:19:57,24357,515238
2025-08-17 00:19:58,24272,515238
2025-08-17 00:19:59,24507,515238
2025-08-17 00:20:00,24272,515238
2025-08-17 00:20:01,24460,515238
2025-08-17 00:20:02,24272,515238
2025-08-17 00:20:03,24414,515238
2025-08-17 00:20:04,24465,515238
2025-08-17 00:20:05,24355,515238
2025-08-17 00:20:06,24533,515238
2025-08-17 00:20:07,24272,515238
2025-08-17 00:20:08,24328,515238
2025-08-17 00:20:09,18900,515238
2025-08-17 00:20:10,19076,515238
2025-08-17 00:20:11,18908,515238
2025-08-17 00:20:12,19042,515238
2025-08-17 00:20:13,19035,515238
2025-08-17 00:20:14,18909,515238
2025-08-17 00:20:15,19160,515238
2025-08-17 00:20:16,18910,515238
2025-08-17 00:20:17,19113,515238
2025-08-17 00:20:18,18910,515238
2025-08-17 00:20:19,19061,515238
2025-08-17 00:20:20,18911,515238
2025-08-17 00:20:21,19007,515238
2025-08-17 00:20:22,18996,515238
2025-08-17 00:20:23,18911,515238
2025-08-17 00:20:24,19151,515238
2025-08-17 00:20:25,18911,515238
2025-08-17 00:20:26,19096,515238
2025-08-17 00:20:27,18917,515238
2025-08-17 00:20:28,19039,515238
2025-08-17 00:20:29,19112,515238
2025-08-17 00:20:30,18998,515238
2025-08-17 00:20:31,19178,515238
2025-08-17 00:20:32,18917,515238
2025-08-17 00:20:33,19138,515238
2025-08-17 00:20:34,18917,515238
2025-08-17 00:20:35,19080,515238
2025-08-17 00:20:36,18916,515238
2025-08-17 00:20:37,19038,515238
2025-08-17 00:20:38,19091,515238
2025-08-17 00:20:39,18982,515238
2025-08-17 00:20:40,19182,515238
2025-08-17 00:20:41,18923,515238
2025-08-17 00:20:42,19128,515238
2025-08-17 00:20:43,18923,515238
2025-08-17 00:20:44,19078,515238
2025-08-17 00:20:45,18923,515238
2025-08-17 00:20:46,19034,515238
2025-08-17 00:20:47,19090,515238
2025-08-17 00:20:48,18993,515238
2025-08-17 00:20:49,19192,515238
2025-08-17 00:20:50,18933,515238
2025-08-17 00:20:51,19187,515238
2025-08-17 00:20:53,18986,515238
2025-08-17 00:20:54,19129,515238
2025-08-17 00:20:55,19040,515238
2025-08-17 00:20:56,18273,515238
2025-08-17 00:20:57,18949,515238
2025-08-17 00:20:58,19231,515238
2025-08-17 00:20:59,19101,515238
2025-08-17 00:21:00,19154,515238
2025-08-17 00:21:01,19402,515238
2025-08-17 00:21:02,19166,515238
2025-08-17 00:21:03,19297,515238
2025-08-17 00:21:04,19464,515238
2025-08-17 00:21:05,19303,515238
2025-08-17 00:21:06,19497,515238
2025-08-17 00:21:07,20117,515238
2025-08-17 00:21:08,21332,515238
2025-08-17 00:21:09,21330,515238
2025-08-17 00:21:10,23164,515238
2025-08-17 00:21:11,27162,515238
2025-08-17 00:21:12,27277,515238
2025-08-17 00:21:13,27413,515238
2025-08-17 00:21:14,27315,515238
2025-08-17 00:21:15,27512,515238
2025-08-17 00:21:16,27289,515238
2025-08-17 00:21:17,27618,515238
2025-08-17 00:21:18,30986,515238
