timestamp,index,mem_used_MiB,mem_total_MiB,util_gpu,util_mem
2025-08-12 23:16:01,0, 3015, 81920, [N/A], [N/A]
2025-08-12 23:16:01,1, 4, 81920, 0, 0
2025-08-12 23:16:02,0, 3015, 81920, [N/A], [N/A]
2025-08-12 23:16:02,1, 4, 81920, 0, 0
2025-08-12 23:16:03,0, 3015, 81920, [N/A], [N/A]
2025-08-12 23:16:03,1, 4, 81920, 0, 0
2025-08-12 23:16:04,0, 3015, 81920, [N/A], [N/A]
2025-08-12 23:16:04,1, 4, 81920, 0, 0
2025-08-12 23:16:05,0, 3015, 81920, [N/A], [N/A]
2025-08-12 23:16:05,1, 4, 81920, 0, 0
2025-08-12 23:16:06,0, 3015, 81920, [N/A], [N/A]
2025-08-12 23:16:06,1, 4, 81920, 0, 0
2025-08-12 23:16:07,0, 3015, 81920, [N/A], [N/A]
2025-08-12 23:16:07,1, 4, 81920, 0, 0
2025-08-12 23:16:08,0, 3015, 81920, [N/A], [N/A]
2025-08-12 23:16:08,1, 4, 81920, 0, 0
2025-08-12 23:16:09,0, 3015, 81920, [N/A], [N/A]
2025-08-12 23:16:09,1, 4, 81920, 0, 0
2025-08-12 23:16:10,0, 3015, 81920, [N/A], [N/A]
2025-08-12 23:16:10,1, 4, 81920, 0, 0
2025-08-12 23:16:11,0, 3015, 81920, [N/A], [N/A]
2025-08-12 23:16:11,1, 4, 81920, 0, 0
2025-08-12 23:16:13,0, 3015, 81920, [N/A], [N/A]
2025-08-12 23:16:13,1, 4, 81920, 0, 0
2025-08-12 23:16:14,0, 3015, 81920, [N/A], [N/A]
2025-08-12 23:16:14,1, 4, 81920, 0, 0
2025-08-12 23:16:15,0, 3015, 81920, [N/A], [N/A]
2025-08-12 23:16:15,1, 7, 81920, 0, 0
2025-08-12 23:16:16,0, 3015, 81920, [N/A], [N/A]
2025-08-12 23:16:16,1, 7, 81920, 0, 0
2025-08-12 23:16:17,0, 3015, 81920, [N/A], [N/A]
2025-08-12 23:16:17,1, 7, 81920, 0, 0
