timestamp,ram_used_MiB,ram_total_MiB
2025-08-12 23:16:01,18371,515333
2025-08-12 23:16:02,18398,515333
2025-08-12 23:16:03,18397,515333
2025-08-12 23:16:04,18412,515333
2025-08-12 23:16:05,18431,515333
2025-08-12 23:16:06,18463,515333
2025-08-12 23:16:07,18476,515333
2025-08-12 23:16:08,18508,515333
2025-08-12 23:16:09,18541,515333
2025-08-12 23:16:10,18542,515333
2025-08-12 23:16:11,18558,515333
2025-08-12 23:16:12,18556,515333
2025-08-12 23:16:13,18580,515333
2025-08-12 23:16:14,18583,515333
2025-08-12 23:16:15,18650,515333
2025-08-12 23:16:16,18654,515333
2025-08-12 23:16:17,18789,515333
2025-08-12 23:16:18,19151,515333
2025-08-12 23:16:19,19746,515333
2025-08-12 23:16:20,20625,515333
2025-08-12 23:16:21,20489,515333
2025-08-12 23:16:22,21729,515333
2025-08-12 23:16:23,26034,515333
2025-08-12 23:16:24,26570,515333
2025-08-12 23:16:25,26586,515333
2025-08-12 23:16:26,26666,515333
2025-08-12 23:16:27,26666,515333
2025-08-12 23:16:28,26679,515333
2025-08-12 23:16:29,26768,515333
2025-08-12 23:16:31,30289,515333
2025-08-12 23:16:32,30270,515333
2025-08-12 23:16:33,30293,515333
2025-08-12 23:16:34,30200,515333
2025-08-12 23:16:35,30283,515333
2025-08-12 23:16:36,30184,515333
2025-08-12 23:16:37,30291,515333
2025-08-12 23:16:38,30279,515333
2025-08-12 23:16:39,30292,515333
2025-08-12 23:16:40,30279,515333
2025-08-12 23:16:41,30293,515333
2025-08-12 23:16:42,30280,515333
2025-08-12 23:16:43,30296,515333
2025-08-12 23:16:44,30284,515333
2025-08-12 23:16:45,30300,515333
2025-08-12 23:16:46,30301,515333
2025-08-12 23:16:47,30288,515333
2025-08-12 23:16:48,30316,515333
2025-08-12 23:16:49,30288,515333
2025-08-12 23:16:50,30301,515333
2025-08-12 23:16:51,30289,515333
2025-08-12 23:16:52,30302,515333
2025-08-12 23:16:53,30288,515333
2025-08-12 23:16:54,30301,515333
2025-08-12 23:16:55,30288,515333
2025-08-12 23:16:56,30301,515333
2025-08-12 23:16:57,30288,515333
2025-08-12 23:16:58,30289,515333
2025-08-12 23:16:59,30302,515333
2025-08-12 23:17:00,30301,515333
2025-08-12 23:17:01,30314,515333
2025-08-12 23:17:02,30289,515333
2025-08-12 23:17:03,30302,515333
2025-08-12 23:17:04,30290,515333
2025-08-12 23:17:05,30303,515333
2025-08-12 23:17:06,30293,515333
2025-08-12 23:17:07,30306,515333
2025-08-12 23:17:08,30293,515333
2025-08-12 23:17:09,30306,515333
2025-08-12 23:17:10,30293,515333
2025-08-12 23:17:11,30305,515333
2025-08-12 23:17:12,28261,515333
2025-08-12 23:17:13,24888,515333
2025-08-12 23:17:14,24925,515333
2025-08-12 23:17:15,24908,515333
2025-08-12 23:17:16,24923,515333
2025-08-12 23:17:17,24909,515333
2025-08-12 23:17:18,24922,515333
2025-08-12 23:17:19,24910,515333
2025-08-12 23:17:20,24922,515333
2025-08-12 23:17:21,24922,515333
2025-08-12 23:17:22,24909,515333
2025-08-12 23:17:23,24922,515333
2025-08-12 23:17:24,24909,515333
2025-08-12 23:17:25,24923,515333
2025-08-12 23:17:26,24913,515333
2025-08-12 23:17:27,24925,515333
2025-08-12 23:17:28,24912,515333
2025-08-12 23:17:29,24925,515333
2025-08-12 23:17:30,24912,515333
2025-08-12 23:17:31,24938,515333
2025-08-12 23:17:32,24913,515333
2025-08-12 23:17:33,24925,515333
2025-08-12 23:17:34,24913,515333
2025-08-12 23:17:35,24926,515333
2025-08-12 23:17:36,24927,515333
2025-08-12 23:17:37,24913,515333
2025-08-12 23:17:38,24927,515333
2025-08-12 23:17:39,24913,515333
2025-08-12 23:17:40,24925,515333
2025-08-12 23:17:41,24912,515333
2025-08-12 23:17:42,24925,515333
2025-08-12 23:17:43,24912,515333
2025-08-12 23:17:44,24926,515333
2025-08-12 23:17:45,24913,515333
2025-08-12 23:17:46,24939,515333
2025-08-12 23:17:47,24913,515333
2025-08-12 23:17:48,24925,515333
2025-08-12 23:17:49,24926,515333
2025-08-12 23:17:50,24913,515333
2025-08-12 23:17:51,24926,515333
2025-08-12 23:17:52,24913,515333
2025-08-12 23:17:53,24926,515333
2025-08-12 23:17:54,24913,515333
2025-08-12 23:17:55,24927,515333
2025-08-12 23:17:56,24912,515333
2025-08-12 23:17:57,24938,515333
2025-08-12 23:17:58,24912,515333
2025-08-12 23:17:59,24926,515333
2025-08-12 23:18:00,24912,515333
2025-08-12 23:18:01,24925,515333
2025-08-12 23:18:02,24926,515333
2025-08-12 23:18:03,24912,515333
2025-08-12 23:18:04,24925,515333
2025-08-12 23:18:05,24911,515333
2025-08-12 23:18:06,24924,515333
2025-08-12 23:18:07,24911,515333
2025-08-12 23:18:08,24925,515333
2025-08-12 23:18:09,24911,515333
2025-08-12 23:18:10,24937,515333
2025-08-12 23:18:11,24911,515333
2025-08-12 23:18:12,24924,515333
2025-08-12 23:18:13,24911,515333
2025-08-12 23:18:14,24924,515333
2025-08-12 23:18:15,24926,515333
2025-08-12 23:18:17,24911,515333
2025-08-12 23:18:18,24925,515333
2025-08-12 23:18:19,24912,515333
2025-08-12 23:18:20,24926,515333
2025-08-12 23:18:21,24912,515333
2025-08-12 23:18:22,24925,515333
2025-08-12 23:18:23,24912,515333
2025-08-12 23:18:24,24925,515333
2025-08-12 23:18:25,24912,515333
2025-08-12 23:18:26,24925,515333
2025-08-12 23:18:27,24912,515333
2025-08-12 23:18:28,24925,515333
2025-08-12 23:18:29,24925,515333
2025-08-12 23:18:30,24912,515333
2025-08-12 23:18:31,24925,515333
2025-08-12 23:18:32,24912,515333
2025-08-12 23:18:33,24925,515333
2025-08-12 23:18:34,24912,515333
2025-08-12 23:18:35,24927,515333
2025-08-12 23:18:36,24914,515333
2025-08-12 23:18:37,24927,515333
2025-08-12 23:18:38,24928,515333
2025-08-12 23:18:39,24929,515333
2025-08-12 23:18:40,24916,515333
2025-08-12 23:18:41,24928,515333
2025-08-12 23:18:42,24916,515333
2025-08-12 23:18:43,24928,515333
2025-08-12 23:18:44,24929,515333
2025-08-12 23:18:45,24916,515333
2025-08-12 23:18:46,24931,515333
2025-08-12 23:18:47,24916,515333
2025-08-12 23:18:48,24930,515333
2025-08-12 23:18:49,24917,515333
2025-08-12 23:18:50,24930,515333
