timestamp,ram_used_MiB,ram_total_MiB
2025-08-16 10:52:37,17664,515238
2025-08-16 10:52:38,17693,515238
2025-08-16 10:52:39,17890,515238
2025-08-16 10:52:40,17740,515238
2025-08-16 10:52:41,17888,515238
2025-08-16 10:52:42,17816,515238
2025-08-16 10:52:43,17838,515238
2025-08-16 10:52:44,17844,515238
2025-08-16 10:52:45,17912,515238
2025-08-16 10:52:46,18143,515238
2025-08-16 10:52:47,17963,515238
2025-08-16 10:52:48,17964,515238
2025-08-16 10:52:49,17933,515238
2025-08-16 10:52:50,18222,515238
2025-08-16 10:52:51,18049,515238
2025-08-16 10:52:52,18199,515238
2025-08-16 10:52:53,18670,515238
2025-08-16 10:52:54,19776,515238
2025-08-16 10:52:55,19894,515238
2025-08-16 10:52:56,21431,515238
2025-08-16 10:52:57,26317,515238
2025-08-16 10:52:58,26010,515238
2025-08-16 10:52:59,26151,515238
2025-08-16 10:53:00,26068,515238
2025-08-16 10:53:01,26283,515238
2025-08-16 10:53:02,26096,515238
2025-08-16 10:53:03,26388,515238
2025-08-16 10:53:04,30025,515238
2025-08-16 10:53:05,29843,515238
2025-08-16 10:53:06,29692,515238
2025-08-16 10:53:07,29808,515238
2025-08-16 10:53:08,29693,515238
2025-08-16 10:53:09,29671,515238
2025-08-16 10:53:10,29641,515238
2025-08-16 10:53:11,29636,515238
2025-08-16 10:53:12,29685,515238
2025-08-16 10:53:13,29497,515238
2025-08-16 10:53:14,29739,515238
2025-08-16 10:53:15,29547,515238
2025-08-16 10:53:16,29716,515238
2025-08-16 10:53:17,29548,515238
2025-08-16 10:53:18,29628,515238
2025-08-16 10:53:19,29523,515238
2025-08-16 10:53:20,29599,515238
2025-08-16 10:53:21,29661,515238
2025-08-16 10:53:22,29695,515238
2025-08-16 10:53:23,29868,515238
2025-08-16 10:53:24,29806,515238
2025-08-16 10:53:25,30077,515238
2025-08-16 10:53:26,29888,515238
2025-08-16 10:53:27,30031,515238
2025-08-16 10:53:28,29888,515238
2025-08-16 10:53:29,29974,515238
2025-08-16 10:53:30,29888,515238
2025-08-16 10:53:31,29929,515238
2025-08-16 10:53:32,29974,515238
2025-08-16 10:53:33,29886,515238
2025-08-16 10:53:34,30078,515238
2025-08-16 10:53:35,29887,515238
2025-08-16 10:53:36,30039,515238
2025-08-16 10:53:37,29887,515238
2025-08-16 10:53:39,30002,515238
2025-08-16 10:53:40,29887,515238
2025-08-16 10:53:41,29957,515238
2025-08-16 10:53:42,29887,515238
2025-08-16 10:53:43,29911,515238
2025-08-16 10:53:44,29920,515238
2025-08-16 10:53:45,29887,515238
2025-08-16 10:53:46,29186,515238
2025-08-16 10:53:47,29450,515238
2025-08-16 10:53:48,29950,515238
2025-08-16 10:53:49,29848,515238
2025-08-16 10:53:50,30029,515238
2025-08-16 10:53:51,29846,515238
2025-08-16 10:53:52,29984,515238
2025-08-16 10:53:53,29847,515238
2025-08-16 10:53:54,29945,515238
2025-08-16 10:53:55,29778,515238
2025-08-16 10:53:56,29567,515238
2025-08-16 10:53:57,29550,515238
2025-08-16 10:53:58,24101,515238
2025-08-16 10:53:59,24210,515238
2025-08-16 10:54:00,24254,515238
2025-08-16 10:54:01,24408,515238
2025-08-16 10:54:02,24238,515238
2025-08-16 10:54:03,24514,515238
2025-08-16 10:54:04,24487,515238
2025-08-16 10:54:05,24580,515238
2025-08-16 10:54:06,24489,515238
2025-08-16 10:54:07,24534,515238
2025-08-16 10:54:08,24621,515238
2025-08-16 10:54:09,24514,515238
2025-08-16 10:54:10,24513,515238
2025-08-16 10:54:11,24503,515238
2025-08-16 10:54:12,24671,515238
2025-08-16 10:54:13,24504,515238
2025-08-16 10:54:14,24631,515238
2025-08-16 10:54:15,24514,515238
2025-08-16 10:54:16,24387,515238
2025-08-16 10:54:17,24514,515238
2025-08-16 10:54:18,24563,515238
2025-08-16 10:54:19,24600,515238
2025-08-16 10:54:20,24517,515238
2025-08-16 10:54:21,24710,515238
2025-08-16 10:54:22,24518,515238
2025-08-16 10:54:23,24680,515238
2025-08-16 10:54:24,24519,515238
2025-08-16 10:54:25,24541,515238
2025-08-16 10:54:26,24418,515238
2025-08-16 10:54:27,24500,515238
2025-08-16 10:54:28,24348,515238
2025-08-16 10:54:29,24128,515238
2025-08-16 10:54:30,24142,515238
2025-08-16 10:54:31,24106,515238
2025-08-16 10:54:32,24281,515238
2025-08-16 10:54:33,24104,515238
2025-08-16 10:54:34,24255,515238
2025-08-16 10:54:35,24164,515238
2025-08-16 10:54:36,24310,515238
2025-08-16 10:54:37,24411,515238
2025-08-16 10:54:38,24441,515238
2025-08-16 10:54:39,24432,515238
2025-08-16 10:54:40,24411,515238
2025-08-16 10:54:41,24743,515238
2025-08-16 10:54:42,24570,515238
2025-08-16 10:54:43,24715,515238
2025-08-16 10:54:44,24571,515238
2025-08-16 10:54:45,24652,515238
2025-08-16 10:54:46,24798,515238
2025-08-16 10:54:47,24593,515238
2025-08-16 10:54:48,24578,515238
2025-08-16 10:54:49,24570,515238
2025-08-16 10:54:50,24495,515238
2025-08-16 10:54:51,24325,515238
2025-08-16 10:54:52,24442,515238
2025-08-16 10:54:53,24425,515238
2025-08-16 10:54:54,24482,515238
2025-08-16 10:54:55,24527,515238
2025-08-16 10:54:56,24430,515238
2025-08-16 10:54:57,24622,515238
2025-08-16 10:54:58,24429,515238
2025-08-16 10:54:59,24586,515238
2025-08-16 10:55:00,24329,515238
2025-08-16 10:55:01,24420,515238
2025-08-16 10:55:02,24311,515238
2025-08-16 10:55:03,24386,515238
2025-08-16 10:55:04,24551,515238
2025-08-16 10:55:05,24581,515238
2025-08-16 10:55:06,24636,515238
2025-08-16 10:55:07,24585,515238
2025-08-16 10:55:08,24631,515238
2025-08-16 10:55:09,24450,515238
2025-08-16 10:55:10,24587,515238
2025-08-16 10:55:11,24450,515238
2025-08-16 10:55:12,24548,515238
2025-08-16 10:55:13,24461,515238
2025-08-16 10:55:14,24520,515238
2025-08-16 10:55:15,24746,515238
2025-08-16 10:55:16,24388,515238
2025-08-16 10:55:17,24817,515238
2025-08-16 10:55:18,24625,515238
2025-08-16 10:55:19,24783,515238
2025-08-16 10:55:20,24626,515238
2025-08-16 10:55:21,24732,515238
2025-08-16 10:55:22,24627,515238
2025-08-16 10:55:23,24682,515238
2025-08-16 10:55:24,24852,515238
2025-08-16 10:55:25,24588,515238
