timestamp,ram_used_MiB,ram_total_MiB
2025-08-17 15:39:53,12873,515238
2025-08-17 15:39:54,12463,515238
2025-08-17 15:39:55,12860,515238
2025-08-17 15:39:56,12475,515238
2025-08-17 15:39:57,12872,515238
2025-08-17 15:39:58,12530,515238
2025-08-17 15:39:59,12860,515238
2025-08-17 15:40:00,12950,515238
2025-08-17 15:40:01,12751,515238
2025-08-17 15:40:02,13038,515238
2025-08-17 15:40:03,12646,515238
2025-08-17 15:40:04,13032,515238
2025-08-17 15:40:05,12656,515238
2025-08-17 15:40:06,13015,515238
2025-08-17 15:40:07,13103,515238
2025-08-17 15:40:08,12935,515238
2025-08-17 15:40:09,14037,515238
2025-08-17 15:40:10,14554,515238
2025-08-17 15:40:11,15106,515238
2025-08-17 15:40:12,16310,515238
2025-08-17 15:40:13,20977,515238
2025-08-17 15:40:14,20651,515238
2025-08-17 15:40:15,20919,515238
2025-08-17 15:40:16,21004,515238
2025-08-17 15:40:17,20742,515238
2025-08-17 15:40:18,21149,515238
2025-08-17 15:40:19,20804,515238
2025-08-17 15:40:20,21292,515238
2025-08-17 15:40:21,24302,515238
2025-08-17 15:40:22,24701,515238
2025-08-17 15:40:23,24765,515238
2025-08-17 15:40:24,24561,515238
2025-08-17 15:40:25,24845,515238
2025-08-17 15:40:26,24402,515238
2025-08-17 15:40:27,24795,515238
2025-08-17 15:40:28,24406,515238
2025-08-17 15:40:29,24738,515238
2025-08-17 15:40:30,24408,515238
2025-08-17 15:40:31,24683,515238
2025-08-17 15:40:32,24672,515238
2025-08-17 15:40:33,24410,515238
2025-08-17 15:40:34,24827,515238
2025-08-17 15:40:35,24407,515238
2025-08-17 15:40:36,24771,515238
2025-08-17 15:40:37,24407,515238
2025-08-17 15:40:38,24715,515238
2025-08-17 15:40:39,24760,515238
2025-08-17 15:40:40,24512,515238
2025-08-17 15:40:41,21189,515238
2025-08-17 15:40:42,20764,515238
2025-08-17 15:40:43,21152,515238
2025-08-17 15:40:44,20808,515238
2025-08-17 15:40:45,21149,515238
2025-08-17 15:40:46,20850,515238
2025-08-17 15:40:47,21143,515238
2025-08-17 15:40:48,21170,515238
2025-08-17 15:40:49,20913,515238
2025-08-17 15:40:50,21334,515238
2025-08-17 15:40:51,20932,515238
2025-08-17 15:40:52,21307,515238
2025-08-17 15:40:53,20967,515238
2025-08-17 15:40:54,21317,515238
2025-08-17 15:40:55,21398,515238
2025-08-17 15:40:56,21200,515238
2025-08-17 15:40:57,22626,515238
2025-08-17 15:40:58,22520,515238
2025-08-17 15:40:59,23919,515238
2025-08-17 15:41:00,25060,515238
2025-08-17 15:41:01,29258,515238
2025-08-17 15:41:02,29366,515238
2025-08-17 15:41:03,29100,515238
2025-08-17 15:41:04,29477,515238
2025-08-17 15:41:05,29047,515238
2025-08-17 15:41:06,29331,515238
2025-08-17 15:41:07,25050,515238
2025-08-17 15:41:08,25373,515238
2025-08-17 15:41:09,25051,515238
2025-08-17 15:41:10,25319,515238
2025-08-17 15:41:11,25325,515238
2025-08-17 15:41:12,25080,515238
2025-08-17 15:41:13,25470,515238
2025-08-17 15:41:14,25086,515238
2025-08-17 15:41:15,25430,515238
2025-08-17 15:41:16,25087,515238
2025-08-17 15:41:18,25367,515238
2025-08-17 15:41:19,25361,515238
2025-08-17 15:41:20,25096,515238
2025-08-17 15:41:21,25511,515238
2025-08-17 15:41:22,25113,515238
2025-08-17 15:41:23,25471,515238
2025-08-17 15:41:24,25112,515238
2025-08-17 15:41:25,25413,515238
2025-08-17 15:41:26,25429,515238
2025-08-17 15:41:27,25162,515238
2025-08-17 15:41:28,25545,515238
2025-08-17 15:41:29,25112,515238
2025-08-17 15:41:30,25490,515238
2025-08-17 15:41:31,25115,515238
2025-08-17 15:41:32,25438,515238
2025-08-17 15:41:33,25384,515238
2025-08-17 15:41:34,25118,515238
2025-08-17 15:41:35,25524,515238
2025-08-17 15:41:36,25116,515238
2025-08-17 15:41:37,25468,515238
2025-08-17 15:41:38,25115,515238
2025-08-17 15:41:39,25413,515238
2025-08-17 15:41:40,25470,515238
2025-08-17 15:41:41,25245,515238
2025-08-17 15:41:42,25553,515238
2025-08-17 15:41:43,25125,515238
2025-08-17 15:41:44,25500,515238
2025-08-17 15:41:45,25123,515238
2025-08-17 15:41:46,25440,515238
2025-08-17 15:41:47,25315,515238
2025-08-17 15:41:48,25385,515238
2025-08-17 15:41:49,25387,515238
2025-08-17 15:41:50,25133,515238
2025-08-17 15:41:51,25526,515238
2025-08-17 15:41:52,25123,515238
2025-08-17 15:41:53,25476,515238
2025-08-17 15:41:54,25130,515238
2025-08-17 15:41:55,25417,515238
