timestamp,ram_used_MiB,ram_total_MiB
2025-08-15 23:19:56,12686,515238
2025-08-15 23:19:57,12715,515238
2025-08-15 23:19:58,12712,515238
2025-08-15 23:19:59,12726,515238
2025-08-15 23:20:00,12764,515238
2025-08-15 23:20:01,12797,515238
2025-08-15 23:20:02,12798,515238
2025-08-15 23:20:03,12849,515238
2025-08-15 23:20:04,12878,515238
2025-08-15 23:20:05,12858,515238
2025-08-15 23:20:06,12894,515238
2025-08-15 23:20:07,12903,515238
2025-08-15 23:20:08,12892,515238
2025-08-15 23:20:09,12934,515238
2025-08-15 23:20:10,12967,515238
2025-08-15 23:20:11,12986,515238
2025-08-15 23:20:12,12995,515238
2025-08-15 23:20:13,14246,515238
2025-08-15 23:20:14,14417,515238
2025-08-15 23:20:15,15648,515238
2025-08-15 23:20:16,17137,515238
2025-08-15 23:20:17,20900,515238
2025-08-15 23:20:18,20902,515238
2025-08-15 23:20:19,20905,515238
2025-08-15 23:20:20,20989,515238
2025-08-15 23:20:21,20990,515238
2025-08-15 23:20:22,20990,515238
2025-08-15 23:20:23,21094,515238
2025-08-15 23:20:25,26373,515238
2025-08-15 23:20:26,24732,515238
2025-08-15 23:20:27,24639,515238
2025-08-15 23:20:28,24639,515238
2025-08-15 23:20:29,24640,515238
2025-08-15 23:20:30,24639,515238
2025-08-15 23:20:31,24643,515238
2025-08-15 23:20:32,24644,515238
2025-08-15 23:20:33,24644,515238
2025-08-15 23:20:34,24645,515238
2025-08-15 23:20:35,24645,515238
2025-08-15 23:20:36,24645,515238
2025-08-15 23:20:37,24645,515238
2025-08-15 23:20:38,24645,515238
2025-08-15 23:20:39,24644,515238
2025-08-15 23:20:40,24645,515238
2025-08-15 23:20:41,24644,515238
2025-08-15 23:20:42,24645,515238
2025-08-15 23:20:43,24644,515238
2025-08-15 23:20:44,24645,515238
2025-08-15 23:20:45,24644,515238
2025-08-15 23:20:46,24644,515238
2025-08-15 23:20:47,24645,515238
2025-08-15 23:20:48,24645,515238
2025-08-15 23:20:49,24645,515238
2025-08-15 23:20:50,24645,515238
2025-08-15 23:20:51,24645,515238
2025-08-15 23:20:52,24645,515238
2025-08-15 23:20:53,24644,515238
2025-08-15 23:20:54,24644,515238
2025-08-15 23:20:55,24645,515238
2025-08-15 23:20:56,24645,515238
2025-08-15 23:20:57,24645,515238
2025-08-15 23:20:58,24645,515238
2025-08-15 23:20:59,24645,515238
2025-08-15 23:21:00,24645,515238
2025-08-15 23:21:01,24645,515238
2025-08-15 23:21:02,24645,515238
2025-08-15 23:21:03,24645,515238
2025-08-15 23:21:04,24645,515238
2025-08-15 23:21:05,24645,515238
2025-08-15 23:21:06,24645,515238
2025-08-15 23:21:07,24645,515238
2025-08-15 23:21:08,24646,515238
2025-08-15 23:21:09,24645,515238
2025-08-15 23:21:10,24645,515238
2025-08-15 23:21:11,24645,515238
2025-08-15 23:21:12,24645,515238
2025-08-15 23:21:13,24657,515238
2025-08-15 23:21:14,24645,515238
2025-08-15 23:21:15,24645,515238
2025-08-15 23:21:16,24645,515238
2025-08-15 23:21:17,24645,515238
2025-08-15 23:21:18,24649,515238
2025-08-15 23:21:19,24649,515238
2025-08-15 23:21:20,24649,515238
2025-08-15 23:21:21,24649,515238
2025-08-15 23:21:22,24664,515238
2025-08-15 23:21:23,24662,515238
2025-08-15 23:21:24,24662,515238
2025-08-15 23:21:25,24663,515238
2025-08-15 23:21:26,24662,515238
2025-08-15 23:21:27,24663,515238
2025-08-15 23:21:28,24663,515238
2025-08-15 23:21:29,24663,515238
2025-08-15 23:21:30,24663,515238
2025-08-15 23:21:31,24999,515238
2025-08-15 23:21:32,24666,515238
2025-08-15 23:21:33,24666,515238
2025-08-15 23:21:34,24666,515238
2025-08-15 23:21:35,24666,515238
2025-08-15 23:21:36,24666,515238
2025-08-15 23:21:37,24666,515238
2025-08-15 23:21:38,24667,515238
2025-08-15 23:21:39,24667,515238
2025-08-15 23:21:40,24667,515238
2025-08-15 23:21:41,24667,515238
2025-08-15 23:21:42,24667,515238
2025-08-15 23:21:43,24666,515238
2025-08-15 23:21:44,24666,515238
2025-08-15 23:21:45,24669,515238
2025-08-15 23:21:46,24667,515238
2025-08-15 23:21:47,24666,515238
2025-08-15 23:21:48,24666,515238
2025-08-15 23:21:49,24667,515238
2025-08-15 23:21:50,24679,515238
2025-08-15 23:21:51,24666,515238
2025-08-15 23:21:52,24666,515238
2025-08-15 23:21:53,24666,515238
2025-08-15 23:21:54,24666,515238
2025-08-15 23:21:55,24666,515238
2025-08-15 23:21:56,24666,515238
2025-08-15 23:21:58,24666,515238
2025-08-15 23:21:59,24666,515238
2025-08-15 23:22:00,24666,515238
2025-08-15 23:22:01,24666,515238
2025-08-15 23:22:02,24665,515238
2025-08-15 23:22:03,24665,515238
2025-08-15 23:22:04,24666,515238
2025-08-15 23:22:05,24665,515238
2025-08-15 23:22:06,24666,515238
2025-08-15 23:22:07,24666,515238
2025-08-15 23:22:08,24665,515238
2025-08-15 23:22:09,24666,515238
2025-08-15 23:22:10,24666,515238
2025-08-15 23:22:11,24666,515238
2025-08-15 23:22:12,24666,515238
2025-08-15 23:22:13,20295,515238
2025-08-15 23:22:14,19268,515238
2025-08-15 23:22:15,19275,515238
2025-08-15 23:22:16,19277,515238
2025-08-15 23:22:17,19277,515238
2025-08-15 23:22:18,19278,515238
2025-08-15 23:22:19,19278,515238
2025-08-15 23:22:20,19279,515238
2025-08-15 23:22:21,19279,515238
2025-08-15 23:22:22,19278,515238
2025-08-15 23:22:23,19278,515238
2025-08-15 23:22:24,19279,515238
2025-08-15 23:22:25,19278,515238
2025-08-15 23:22:26,19278,515238
2025-08-15 23:22:27,19279,515238
2025-08-15 23:22:28,19291,515238
2025-08-15 23:22:29,19279,515238
2025-08-15 23:22:30,19287,515238
2025-08-15 23:22:31,19286,515238
2025-08-15 23:22:32,19286,515238
2025-08-15 23:22:33,19287,515238
2025-08-15 23:22:34,19286,515238
2025-08-15 23:22:35,19287,515238
2025-08-15 23:22:36,19287,515238
2025-08-15 23:22:37,19286,515238
2025-08-15 23:22:38,19286,515238
2025-08-15 23:22:39,19286,515238
2025-08-15 23:22:40,19287,515238
2025-08-15 23:22:41,19286,515238
2025-08-15 23:22:42,19286,515238
2025-08-15 23:22:43,19287,515238
2025-08-15 23:22:44,19286,515238
2025-08-15 23:22:45,19286,515238
2025-08-15 23:22:46,19286,515238
2025-08-15 23:22:47,19286,515238
2025-08-15 23:22:48,19287,515238
2025-08-15 23:22:49,19287,515238
2025-08-15 23:22:50,19286,515238
2025-08-15 23:22:51,19287,515238
2025-08-15 23:22:52,19287,515238
2025-08-15 23:22:53,19286,515238
2025-08-15 23:22:54,19286,515238
2025-08-15 23:22:55,19286,515238
2025-08-15 23:22:56,19286,515238
2025-08-15 23:22:57,19286,515238
2025-08-15 23:22:58,19286,515238
