timestamp,ram_used_MiB,ram_total_MiB
2025-08-13 03:00:00,18090,515333
2025-08-13 03:00:01,18083,515333
2025-08-13 03:00:02,18111,515333
2025-08-13 03:00:03,18099,515333
2025-08-13 03:00:04,18144,515333
2025-08-13 03:00:05,18168,515333
2025-08-13 03:00:06,18202,515333
2025-08-13 03:00:07,18208,515333
2025-08-13 03:00:08,18249,515333
2025-08-13 03:00:09,18265,515333
2025-08-13 03:00:10,18267,515333
2025-08-13 03:00:11,18288,515333
2025-08-13 03:00:12,18286,515333
2025-08-13 03:00:13,18333,515333
2025-08-13 03:00:14,18363,515333
2025-08-13 03:00:15,18394,515333
2025-08-13 03:00:16,18420,515333
2025-08-13 03:00:17,18793,515333
2025-08-13 03:00:18,19263,515333
2025-08-13 03:00:19,20154,515333
2025-08-13 03:00:20,20201,515333
2025-08-13 03:00:21,20978,515333
2025-08-13 03:00:22,22521,515333
2025-08-13 03:00:23,26302,515333
2025-08-13 03:00:24,26320,515333
2025-08-13 03:00:25,26399,515333
2025-08-13 03:00:26,26424,515333
2025-08-13 03:00:27,26399,515333
2025-08-13 03:00:28,26413,515333
2025-08-13 03:00:29,26527,515333
2025-08-13 03:00:30,31757,515333
2025-08-13 03:00:31,30112,515333
2025-08-13 03:00:32,30021,515333
2025-08-13 03:00:33,29936,515333
2025-08-13 03:00:34,30023,515333
2025-08-13 03:00:35,29913,515333
2025-08-13 03:00:36,30033,515333
2025-08-13 03:00:37,30019,515333
2025-08-13 03:00:38,30032,515333
2025-08-13 03:00:39,30032,515333
2025-08-13 03:00:40,30019,515333
2025-08-13 03:00:41,30033,515333
2025-08-13 03:00:42,30036,515333
2025-08-13 03:00:43,30037,515333
2025-08-13 03:00:44,30024,515333
2025-08-13 03:00:45,30038,515333
2025-08-13 03:00:46,30025,515333
2025-08-13 03:00:47,30038,515333
2025-08-13 03:00:48,30025,515333
2025-08-13 03:00:50,30038,515333
2025-08-13 03:00:51,30025,515333
2025-08-13 03:00:52,30039,515333
2025-08-13 03:00:53,30026,515333
2025-08-13 03:00:54,30025,515333
2025-08-13 03:00:55,30039,515333
2025-08-13 03:00:56,30026,515333
2025-08-13 03:00:57,30051,515333
2025-08-13 03:00:58,30025,515333
2025-08-13 03:00:59,30038,515333
2025-08-13 03:01:00,30026,515333
2025-08-13 03:01:01,30038,515333
2025-08-13 03:01:02,30027,515333
2025-08-13 03:01:03,30040,515333
2025-08-13 03:01:04,30027,515333
2025-08-13 03:01:05,30041,515333
2025-08-13 03:01:06,30028,515333
2025-08-13 03:01:07,30028,515333
2025-08-13 03:01:08,30041,515333
2025-08-13 03:01:09,30028,515333
2025-08-13 03:01:10,30053,515333
2025-08-13 03:01:11,24722,515333
2025-08-13 03:01:12,24638,515333
2025-08-13 03:01:13,24642,515333
2025-08-13 03:01:14,24660,515333
2025-08-13 03:01:15,24647,515333
2025-08-13 03:01:16,24660,515333
2025-08-13 03:01:17,24647,515333
2025-08-13 03:01:18,24660,515333
2025-08-13 03:01:19,24659,515333
2025-08-13 03:01:20,24646,515333
2025-08-13 03:01:21,24659,515333
2025-08-13 03:01:22,24647,515333
2025-08-13 03:01:23,24659,515333
2025-08-13 03:01:24,24645,515333
2025-08-13 03:01:25,24658,515333
2025-08-13 03:01:26,24646,515333
2025-08-13 03:01:27,24658,515333
2025-08-13 03:01:28,24646,515333
2025-08-13 03:01:29,24658,515333
2025-08-13 03:01:30,24646,515333
2025-08-13 03:01:31,24659,515333
2025-08-13 03:01:32,24646,515333
2025-08-13 03:01:33,24657,515333
2025-08-13 03:01:34,24658,515333
2025-08-13 03:01:35,24646,515333
2025-08-13 03:01:36,24670,515333
2025-08-13 03:01:37,24646,515333
2025-08-13 03:01:38,24658,515333
2025-08-13 03:01:39,24645,515333
2025-08-13 03:01:40,24658,515333
2025-08-13 03:01:41,24646,515333
2025-08-13 03:01:42,24659,515333
2025-08-13 03:01:43,24645,515333
2025-08-13 03:01:44,24659,515333
2025-08-13 03:01:45,24645,515333
2025-08-13 03:01:46,24659,515333
2025-08-13 03:01:47,24660,515333
2025-08-13 03:01:48,24647,515333
2025-08-13 03:01:49,24660,515333
2025-08-13 03:01:50,24660,515333
2025-08-13 03:01:51,24659,515333
2025-08-13 03:01:52,24647,515333
2025-08-13 03:01:53,24659,515333
2025-08-13 03:01:54,24647,515333
2025-08-13 03:01:55,24659,515333
2025-08-13 03:01:56,24646,515333
2025-08-13 03:01:57,24660,515333
2025-08-13 03:01:58,24646,515333
2025-08-13 03:01:59,24659,515333
2025-08-13 03:02:00,24647,515333
2025-08-13 03:02:01,24646,515333
2025-08-13 03:02:02,24662,515333
2025-08-13 03:02:03,24658,515333
2025-08-13 03:02:04,24660,515333
2025-08-13 03:02:05,24647,515333
2025-08-13 03:02:06,24660,515333
2025-08-13 03:02:07,24646,515333
2025-08-13 03:02:08,24659,515333
2025-08-13 03:02:09,24646,515333
2025-08-13 03:02:10,24661,515333
2025-08-13 03:02:11,24646,515333
2025-08-13 03:02:12,24659,515333
2025-08-13 03:02:13,24646,515333
2025-08-13 03:02:14,24645,515333
2025-08-13 03:02:15,24660,515333
2025-08-13 03:02:16,24646,515333
2025-08-13 03:02:17,24671,515333
2025-08-13 03:02:18,24646,515333
2025-08-13 03:02:19,24659,515333
2025-08-13 03:02:20,24647,515333
2025-08-13 03:02:21,24659,515333
2025-08-13 03:02:22,24645,515333
2025-08-13 03:02:23,24659,515333
2025-08-13 03:02:24,24646,515333
2025-08-13 03:02:25,24659,515333
2025-08-13 03:02:26,24659,515333
2025-08-13 03:02:27,24646,515333
2025-08-13 03:02:28,24659,515333
2025-08-13 03:02:29,24647,515333
2025-08-13 03:02:30,24660,515333
2025-08-13 03:02:31,24659,515333
2025-08-13 03:02:32,24659,515333
2025-08-13 03:02:33,24646,515333
2025-08-13 03:02:34,24660,515333
2025-08-13 03:02:35,24646,515333
2025-08-13 03:02:36,24660,515333
2025-08-13 03:02:37,24647,515333
2025-08-13 03:02:38,24659,515333
2025-08-13 03:02:39,24647,515333
2025-08-13 03:02:40,24660,515333
2025-08-13 03:02:41,24661,515333
2025-08-13 03:02:42,24647,515333
2025-08-13 03:02:43,24660,515333
2025-08-13 03:02:45,24647,515333
2025-08-13 03:02:46,24674,515333
2025-08-13 03:02:47,24648,515333
2025-08-13 03:02:48,24661,515333
2025-08-13 03:02:49,24648,515333
2025-08-13 03:02:50,24661,515333
2025-08-13 03:02:51,24647,515333
2025-08-13 03:02:52,24661,515333
2025-08-13 03:02:53,24647,515333
2025-08-13 03:02:54,24661,515333
2025-08-13 03:02:55,24648,515333
2025-08-13 03:02:56,24660,515333
2025-08-13 03:02:57,24661,515333
2025-08-13 03:02:58,24647,515333
2025-08-13 03:02:59,24660,515333
2025-08-13 03:03:00,24660,515333
2025-08-13 03:03:01,24660,515333
2025-08-13 03:03:02,24647,515333
2025-08-13 03:03:03,24660,515333
2025-08-13 03:03:04,24647,515333
2025-08-13 03:03:05,24660,515333
2025-08-13 03:03:06,24647,515333
2025-08-13 03:03:07,24660,515333
2025-08-13 03:03:08,24647,515333
2025-08-13 03:03:09,24659,515333
2025-08-13 03:03:10,24660,515333
2025-08-13 03:03:11,24647,515333
2025-08-13 03:03:12,24660,515333
2025-08-13 03:03:13,24648,515333
2025-08-13 03:03:14,24660,515333
2025-08-13 03:03:15,24647,515333
2025-08-13 03:03:16,24660,515333
2025-08-13 03:03:17,24647,515333
2025-08-13 03:03:18,24660,515333
2025-08-13 03:03:19,24647,515333
2025-08-13 03:03:20,24660,515333
2025-08-13 03:03:21,24647,515333
2025-08-13 03:03:22,24660,515333
2025-08-13 03:03:23,24660,515333
2025-08-13 03:03:24,24646,515333
2025-08-13 03:03:25,24672,515333
2025-08-13 03:03:26,24647,515333
2025-08-13 03:03:27,24659,515333
2025-08-13 03:03:28,24647,515333
2025-08-13 03:03:29,24660,515333
2025-08-13 03:03:30,24647,515333
2025-08-13 03:03:31,24660,515333
2025-08-13 03:03:32,24647,515333
2025-08-13 03:03:33,24660,515333
2025-08-13 03:03:34,24648,515333
2025-08-13 03:03:35,24661,515333
2025-08-13 03:03:36,24662,515333
2025-08-13 03:03:37,24648,515333
2025-08-13 03:03:38,24662,515333
2025-08-13 03:03:39,24648,515333
2025-08-13 03:03:40,24666,515333
2025-08-13 03:03:41,24653,515333
2025-08-13 03:03:42,24668,515333
2025-08-13 03:03:43,24653,515333
2025-08-13 03:03:44,24666,515333
2025-08-13 03:03:45,24653,515333
2025-08-13 03:03:46,24666,515333
2025-08-13 03:03:47,24654,515333
2025-08-13 03:03:48,24666,515333
2025-08-13 03:03:49,24653,515333
2025-08-13 03:03:50,24653,515333
2025-08-13 03:03:51,24666,515333
2025-08-13 03:03:52,24653,515333
2025-08-13 03:03:53,24678,515333
2025-08-13 03:03:54,24653,515333
2025-08-13 03:03:55,24666,515333
2025-08-13 03:03:56,24653,515333
2025-08-13 03:03:57,24666,515333
2025-08-13 03:03:58,24653,515333
2025-08-13 03:03:59,24666,515333
2025-08-13 03:04:00,24653,515333
2025-08-13 03:04:01,24666,515333
2025-08-13 03:04:02,24653,515333
2025-08-13 03:04:03,24665,515333
2025-08-13 03:04:04,24666,515333
2025-08-13 03:04:05,24654,515333
2025-08-13 03:04:06,24680,515333
2025-08-13 03:04:07,24654,515333
2025-08-13 03:04:08,24666,515333
2025-08-13 03:04:09,24654,515333
2025-08-13 03:04:10,24667,515333
2025-08-13 03:04:11,24654,515333
2025-08-13 03:04:12,24667,515333
2025-08-13 03:04:13,24654,515333
2025-08-13 03:04:14,24667,515333
2025-08-13 03:04:15,24654,515333
2025-08-13 03:04:16,24666,515333
2025-08-13 03:04:17,24666,515333
2025-08-13 03:04:18,24653,515333
2025-08-13 03:04:19,24678,515333
2025-08-13 03:04:20,24653,515333
2025-08-13 03:04:21,24664,515333
2025-08-13 03:04:22,24651,515333
2025-08-13 03:04:23,24664,515333
2025-08-13 03:04:24,24651,515333
2025-08-13 03:04:25,24664,515333
2025-08-13 03:04:26,24651,515333
2025-08-13 03:04:27,24664,515333
2025-08-13 03:04:28,24651,515333
2025-08-13 03:04:29,24664,515333
2025-08-13 03:04:30,24664,515333
2025-08-13 03:04:31,24651,515333
2025-08-13 03:04:32,24664,515333
2025-08-13 03:04:33,24664,515333
2025-08-13 03:04:34,24663,515333
2025-08-13 03:04:35,24650,515333
2025-08-13 03:04:36,24663,515333
2025-08-13 03:04:37,24659,515333
2025-08-13 03:04:38,24673,515333
2025-08-13 03:04:39,24660,515333
2025-08-13 03:04:40,24673,515333
2025-08-13 03:04:41,24659,515333
2025-08-13 03:04:43,24672,515333
2025-08-13 03:04:44,24659,515333
2025-08-13 03:04:45,24659,515333
2025-08-13 03:04:46,24672,515333
2025-08-13 03:04:47,24659,515333
2025-08-13 03:04:48,24684,515333
2025-08-13 03:04:49,24659,515333
2025-08-13 03:04:50,24672,515333
2025-08-13 03:04:51,24659,515333
2025-08-13 03:04:52,24672,515333
2025-08-13 03:04:53,24659,515333
2025-08-13 03:04:54,24672,515333
2025-08-13 03:04:55,24659,515333
2025-08-13 03:04:56,24672,515333
2025-08-13 03:04:57,24659,515333
2025-08-13 03:04:58,24672,515333
2025-08-13 03:04:59,24672,515333
2025-08-13 03:05:00,24659,515333
2025-08-13 03:05:01,24686,515333
2025-08-13 03:05:02,24659,515333
2025-08-13 03:05:03,24674,515333
2025-08-13 03:05:04,24659,515333
2025-08-13 03:05:05,24671,515333
2025-08-13 03:05:06,24659,515333
2025-08-13 03:05:07,24672,515333
2025-08-13 03:05:08,24658,515333
2025-08-13 03:05:09,24672,515333
2025-08-13 03:05:10,24659,515333
2025-08-13 03:05:11,24672,515333
2025-08-13 03:05:12,24672,515333
2025-08-13 03:05:13,24657,515333
2025-08-13 03:05:14,24670,515333
2025-08-13 03:05:15,24669,515333
2025-08-13 03:05:16,24669,515333
2025-08-13 03:05:17,24656,515333
2025-08-13 03:05:18,24670,515333
2025-08-13 03:05:19,24656,515333
2025-08-13 03:05:20,24669,515333
2025-08-13 03:05:21,24656,515333
2025-08-13 03:05:22,24669,515333
2025-08-13 03:05:23,24656,515333
2025-08-13 03:05:24,24669,515333
2025-08-13 03:05:25,24670,515333
2025-08-13 03:05:26,24657,515333
2025-08-13 03:05:27,24682,515333
2025-08-13 03:05:28,24657,515333
2025-08-13 03:05:29,24671,515333
2025-08-13 03:05:30,24656,515333
2025-08-13 03:05:31,24669,515333
2025-08-13 03:05:32,24656,515333
2025-08-13 03:05:33,24670,515333
2025-08-13 03:05:34,24658,515333
2025-08-13 03:05:35,24670,515333
2025-08-13 03:05:36,24658,515333
2025-08-13 03:05:37,24670,515333
2025-08-13 03:05:38,24670,515333
2025-08-13 03:05:39,24657,515333
2025-08-13 03:05:40,24670,515333
2025-08-13 03:05:41,24669,515333
2025-08-13 03:05:42,24670,515333
2025-08-13 03:05:43,24657,515333
2025-08-13 03:05:44,24670,515333
2025-08-13 03:05:45,24657,515333
2025-08-13 03:05:46,24670,515333
2025-08-13 03:05:47,24657,515333
2025-08-13 03:05:48,24670,515333
2025-08-13 03:05:49,24656,515333
2025-08-13 03:05:50,24669,515333
2025-08-13 03:05:51,24657,515333
2025-08-13 03:05:52,24669,515333
2025-08-13 03:05:53,24670,515333
2025-08-13 03:05:54,24656,515333
2025-08-13 03:05:55,24670,515333
2025-08-13 03:05:56,24669,515333
2025-08-13 03:05:57,24670,515333
2025-08-13 03:05:58,24656,515333
2025-08-13 03:05:59,24669,515333
2025-08-13 03:06:00,24657,515333
2025-08-13 03:06:01,24670,515333
2025-08-13 03:06:02,24657,515333
2025-08-13 03:06:03,24669,515333
2025-08-13 03:06:04,24655,515333
2025-08-13 03:06:05,24668,515333
2025-08-13 03:06:06,24655,515333
2025-08-13 03:06:07,24667,515333
2025-08-13 03:06:08,24668,515333
2025-08-13 03:06:09,24655,515333
2025-08-13 03:06:10,24681,515333
2025-08-13 03:06:11,24655,515333
2025-08-13 03:06:12,24668,515333
2025-08-13 03:06:13,24655,515333
2025-08-13 03:06:14,24668,515333
2025-08-13 03:06:15,24655,515333
2025-08-13 03:06:16,24670,515333
2025-08-13 03:06:17,24657,515333
2025-08-13 03:06:18,24669,515333
2025-08-13 03:06:19,24656,515333
2025-08-13 03:06:20,24665,515333
2025-08-13 03:06:21,24669,515333
2025-08-13 03:06:22,24656,515333
2025-08-13 03:06:23,24681,515333
2025-08-13 03:06:24,24656,515333
2025-08-13 03:06:25,24670,515333
2025-08-13 03:06:26,24655,515333
2025-08-13 03:06:27,24668,515333
2025-08-13 03:06:28,24656,515333
2025-08-13 03:06:29,24669,515333
2025-08-13 03:06:30,24656,515333
2025-08-13 03:06:31,24668,515333
2025-08-13 03:06:32,24656,515333
2025-08-13 03:06:33,24668,515333
2025-08-13 03:06:34,24670,515333
2025-08-13 03:06:35,24656,515333
2025-08-13 03:06:36,24682,515333
2025-08-13 03:06:38,24657,515333
2025-08-13 03:06:39,24669,515333
2025-08-13 03:06:40,24657,515333
2025-08-13 03:06:41,24669,515333
2025-08-13 03:06:42,24657,515333
2025-08-13 03:06:43,24670,515333
2025-08-13 03:06:44,24657,515333
2025-08-13 03:06:45,24670,515333
2025-08-13 03:06:46,24657,515333
2025-08-13 03:06:47,24670,515333
2025-08-13 03:06:48,24671,515333
2025-08-13 03:06:49,24657,515333
2025-08-13 03:06:50,24670,515333
2025-08-13 03:06:51,24669,515333
2025-08-13 03:06:52,24670,515333
2025-08-13 03:06:53,24657,515333
2025-08-13 03:06:54,24670,515333
