timestamp,ram_used_MiB,ram_total_MiB
2025-08-17 00:20:51,19037,515238
2025-08-17 00:20:52,19083,515238
2025-08-17 00:20:53,18961,515238
2025-08-17 00:20:54,19245,515238
2025-08-17 00:20:55,19040,515238
2025-08-17 00:20:56,18548,515238
2025-08-17 00:20:57,19050,515238
2025-08-17 00:20:58,19328,515238
2025-08-17 00:20:59,19114,515238
2025-08-17 00:21:00,19249,515238
2025-08-17 00:21:01,19399,515238
2025-08-17 00:21:02,19260,515238
2025-08-17 00:21:03,19385,515238
2025-08-17 00:21:04,19210,515238
2025-08-17 00:21:05,19387,515238
2025-08-17 00:21:06,19245,515238
2025-08-17 00:21:07,20597,515238
2025-08-17 00:21:08,20822,515238
2025-08-17 00:21:09,22003,515238
2025-08-17 00:21:10,23763,515238
2025-08-17 00:21:11,27161,515238
2025-08-17 00:21:12,27355,515238
2025-08-17 00:21:13,27249,515238
2025-08-17 00:21:14,27395,515238
2025-08-17 00:21:15,27585,515238
2025-08-17 00:21:16,27425,515238
2025-08-17 00:21:17,31014,515238
2025-08-17 00:21:18,30872,515238
2025-08-17 00:21:19,31119,515238
2025-08-17 00:21:20,30871,515238
2025-08-17 00:21:21,31071,515238
2025-08-17 00:21:22,30872,515238
2025-08-17 00:21:23,31017,515238
2025-08-17 00:21:24,30877,515238
2025-08-17 00:21:25,30966,515238
2025-08-17 00:21:26,31137,515238
2025-08-17 00:21:27,30877,515238
2025-08-17 00:21:28,31110,515238
2025-08-17 00:21:29,30883,515238
2025-08-17 00:21:30,31065,515238
2025-08-17 00:21:31,30884,515238
2025-08-17 00:21:32,31009,515238
2025-08-17 00:21:33,31083,515238
2025-08-17 00:21:34,30956,515238
2025-08-17 00:21:35,31145,515238
2025-08-17 00:21:36,30884,515238
2025-08-17 00:21:37,31099,515238
2025-08-17 00:21:38,30893,515238
2025-08-17 00:21:39,31058,515238
2025-08-17 00:21:40,30893,515238
2025-08-17 00:21:41,30998,515238
2025-08-17 00:21:42,31011,515238
2025-08-17 00:21:43,30894,515238
2025-08-17 00:21:44,31134,515238
2025-08-17 00:21:45,30905,515238
2025-08-17 00:21:46,31094,515238
2025-08-17 00:21:47,30894,515238
2025-08-17 00:21:48,31040,515238
2025-08-17 00:21:49,31190,515238
2025-08-17 00:21:50,30982,515238
2025-08-17 00:21:51,31127,515238
2025-08-17 00:21:52,30902,515238
2025-08-17 00:21:53,31129,515238
2025-08-17 00:21:54,30901,515238
2025-08-17 00:21:55,31073,515238
2025-08-17 00:21:56,30902,515238
2025-08-17 00:21:57,31019,515238
2025-08-17 00:21:58,31080,515238
2025-08-17 00:21:59,30984,515238
2025-08-17 00:22:01,31163,515238
2025-08-17 00:22:02,30903,515238
2025-08-17 00:22:03,31120,515238
2025-08-17 00:22:04,30903,515238
2025-08-17 00:22:05,31064,515238
2025-08-17 00:22:06,30903,515238
2025-08-17 00:22:07,31007,515238
2025-08-17 00:22:08,31013,515238
2025-08-17 00:22:09,30903,515238
2025-08-17 00:22:10,31141,515238
2025-08-17 00:22:11,27220,515238
2025-08-17 00:22:12,25699,515238
2025-08-17 00:22:13,25516,515238
2025-08-17 00:22:14,25661,515238
2025-08-17 00:22:15,25519,515238
2025-08-17 00:22:16,25612,515238
2025-08-17 00:22:17,25600,515238
2025-08-17 00:22:18,25519,515238
2025-08-17 00:22:19,25759,515238
2025-08-17 00:22:20,25521,515238
2025-08-17 00:22:21,25711,515238
2025-08-17 00:22:22,25521,515238
2025-08-17 00:22:23,25652,515238
2025-08-17 00:22:24,25693,515238
2025-08-17 00:22:25,25586,515238
2025-08-17 00:22:26,25781,515238
2025-08-17 00:22:27,25521,515238
2025-08-17 00:22:28,25738,515238
2025-08-17 00:22:29,25521,515238
2025-08-17 00:22:30,25687,515238
2025-08-17 00:22:31,25527,515238
2025-08-17 00:22:32,25638,515238
2025-08-17 00:22:33,25680,515238
2025-08-17 00:22:34,25581,515238
2025-08-17 00:22:35,25776,515238
2025-08-17 00:22:36,25527,515238
2025-08-17 00:22:37,25710,515238
2025-08-17 00:22:38,25527,515238
2025-08-17 00:22:39,25652,515238
2025-08-17 00:22:40,25686,515238
2025-08-17 00:22:41,25530,515238
2025-08-17 00:22:42,25782,515238
2025-08-17 00:22:43,25531,515238
2025-08-17 00:22:44,25734,515238
2025-08-17 00:22:45,25531,515238
2025-08-17 00:22:46,25685,515238
2025-08-17 00:22:47,25531,515238
2025-08-17 00:22:48,25635,515238
2025-08-17 00:22:49,25654,515238
2025-08-17 00:22:50,25536,515238
2025-08-17 00:22:51,25781,515238
2025-08-17 00:22:52,25537,515238
2025-08-17 00:22:53,25732,515238
2025-08-17 00:22:54,25537,515238
2025-08-17 00:22:55,25674,515238
2025-08-17 00:22:56,25727,515238
2025-08-17 00:22:57,25601,515238
2025-08-17 00:22:58,25796,515238
2025-08-17 00:22:59,25537,515238
2025-08-17 00:23:00,25745,515238
2025-08-17 00:23:01,25543,515238
2025-08-17 00:23:02,25674,515238
2025-08-17 00:23:03,25886,515238
2025-08-17 00:23:04,25625,515238
2025-08-17 00:23:05,25659,515238
2025-08-17 00:23:06,25545,515238
2025-08-17 00:23:07,25773,515238
2025-08-17 00:23:08,25545,515238
2025-08-17 00:23:09,25716,515238
2025-08-17 00:23:10,25545,515238
2025-08-17 00:23:11,25651,515238
2025-08-17 00:23:12,25642,515238
2025-08-17 00:23:13,25545,515238
2025-08-17 00:23:14,25785,515238
2025-08-17 00:23:15,25546,515238
2025-08-17 00:23:16,25729,515238
2025-08-17 00:23:17,25558,515238
2025-08-17 00:23:18,25671,515238
2025-08-17 00:23:19,25718,515238
2025-08-17 00:23:20,25609,515238
2025-08-17 00:23:21,25805,515238
2025-08-17 00:23:22,25552,515238
2025-08-17 00:23:23,25739,515238
2025-08-17 00:23:24,25552,515238
2025-08-17 00:23:25,25681,515238
2025-08-17 00:23:26,25909,515238
2025-08-17 00:23:27,25634,515238
2025-08-17 00:23:28,25813,515238
2025-08-17 00:23:29,25552,515238
2025-08-17 00:23:30,25768,515238
2025-08-17 00:23:31,25557,515238
2025-08-17 00:23:32,25723,515238
2025-08-17 00:23:33,25556,515238
2025-08-17 00:23:34,25674,515238
2025-08-17 00:23:35,25642,515238
2025-08-17 00:23:36,25556,515238
2025-08-17 00:23:37,25797,515238
2025-08-17 00:23:38,25556,515238
2025-08-17 00:23:39,25735,515238
2025-08-17 00:23:40,25556,515238
2025-08-17 00:23:41,25688,515238
2025-08-17 00:23:42,25745,515238
2025-08-17 00:23:43,25643,515238
2025-08-17 00:23:44,25823,515238
2025-08-17 00:23:45,25562,515238
2025-08-17 00:23:46,25779,515238
2025-08-17 00:23:47,25562,515238
2025-08-17 00:23:48,25725,515238
